time,input,pid,output
4080,2000,2000,1894
4085,2000,2000,1911
4090,2000,2000,1920
4095,2000,2000,1933
4100,2000,2000,1940
4105,2000,2000,1949
4110,2000,2000,1956
4115,2000,2000,1962
4120,2000,2000,1965
4125,2000,2000,1972
4130,2000,2000,1972
4135,2000,2000,1975
4140,2000,2000,1978
4145,2000,2000,1981
4150,2000,2000,1981
4155,2000,2000,1985
4160,2000,2000,1988
4165,2000,2000,1988
4170,2000,2000,1988
4175,2000,2000,1991
4180,2000,2000,1991
4185,2000,2000,1991
4190,2000,2000,1994
4195,2000,2000,1991
4200,2000,2000,1994
4205,2000,2000,1994
4210,2000,2000,1994
4215,2000,2000,1994
4220,2000,2000,1994
4225,2000,2000,1994
4230,2000,2000,1994
4235,2000,2000,1994
4240,2000,2000,1994
4245,2000,2000,1994
4250,2000,2000,1994
4255,2000,2000,1994
4260,2000,2000,1994
4265,2000,2000,1998
4270,2000,2000,1994
4275,2000,2000,1998
4280,2000,2000,1994
4285,2000,2000,1998
4290,2000,2000,1998
4295,2000,2000,1998
4300,2000,2000,1994
4305,2000,2000,1998
4310,2000,2000,1998
4315,2000,2000,1998
4320,2000,2000,1998
4325,2000,2000,1998
4330,2000,2000,1998
4335,2000,2000,1998
4340,2000,2000,1998
4345,2000,2000,1998
4350,2000,2000,1998
4355,2000,2000,1998
4360,2000,2000,1998
4365,2000,2000,1998
4370,2000,2000,1998
4375,2000,2000,1998
4380,2000,2000,1998
4385,2000,2000,1998
4390,2000,2000,1998
4395,2000,2000,1998
4400,2000,2000,1998
4405,2000,2000,1998
4410,2000,2000,1998
4415,2000,2000,1994
4420,2000,2000,1998
4425,2000,2000,1998
4430,2000,2000,1998
4435,2000,2000,1998
4440,2000,2000,1998
4445,2000,2000,1998
4450,2000,2000,1998
4455,2000,2000,1998
4460,2000,2000,1998
4465,2000,2000,1998
4470,2000,2000,1998
4475,2000,2000,1998
4480,2000,2000,1998
4485,2000,2000,1998
4490,2000,2000,1994
4495,2000,2000,1998
4500,1000,1000,2017
4505,1000,1000,1943
4510,1000,1000,1840
4515,1000,1000,1733
4520,1000,1000,1630
4525,1000,1000,1540
4530,1000,1000,1463
4535,1000,1000,1398
4540,1000,1000,1340
4545,1000,1000,1292
4550,1000,1000,1250
4555,1000,1000,1214
4560,1000,1000,1182
4565,1000,1000,1156
4570,1000,1000,1137
4575,1000,1000,1115
4580,1000,1000,1098
4585,1000,1000,1082
4590,1000,1000,1073
4595,1000,1000,1060
4600,1000,1000,1053
4605,1000,1000,1044
4610,1000,1000,1037
4615,1000,1000,1034
4620,1000,1000,1028
4625,1000,1000,1011
4630,1000,1000,1021
4635,1000,1000,1018
4640,1000,1000,1015
4645,1000,1000,1011
4650,1000,1000,1011
4655,1000,1000,1008
4660,1000,1000,1005
4665,1000,1000,1005
4670,1000,1000,999
4675,1000,1000,1002
4680,1000,1000,1002
4685,1000,1000,1002
4690,1000,1000,1002
4695,1000,1000,1002
4700,1000,1000,1002
4705,1000,1000,1002
4710,1000,1000,999
4715,1000,1000,999
4720,1000,1000,999
4725,1000,1000,999
4730,1000,1000,999
4735,1000,1000,999
4740,1000,1000,999
4745,1000,1000,999
4750,1000,1000,999
4755,1000,1000,999
4760,1000,1000,999
4765,1000,1000,999
4770,1000,1000,999
4775,1000,1000,999
4780,1000,1000,999
4785,1000,1000,999
4790,1000,1000,995
4795,1000,1000,999
4800,1000,1000,995
4805,1000,1000,995
4810,1000,1000,995
4815,1000,1000,999
4820,1000,1000,995
4825,1000,1000,995
4830,1000,1000,999
4835,1000,1000,999
4840,1000,1000,995
4845,1000,1000,995
4850,1000,1000,999
4855,1000,1000,995
4860,1000,1000,999
4865,1000,1000,995
4870,1000,1000,995
4875,1000,1000,995
4880,1000,1000,995
4885,1000,1000,982
4890,1000,1000,995
4895,1000,1000,995
4900,1000,1000,995
4905,1000,1000,995
4910,1000,1000,995
4915,1000,1000,995
4920,1000,1000,995
4925,1000,1000,995
4930,1000,1000,995
4935,1000,1000,995
4940,1000,1000,995
4945,1000,1000,995
4950,1000,1000,995
4955,1000,1000,999
4960,1000,1000,995
4965,1000,1000,995
4970,1000,1000,995
4975,1000,1000,995
4980,1000,1000,995
4985,1000,1000,995
4990,1000,1000,995
4995,1000,1000,986
5000,2000,2000,999
5005,2000,2000,1050
5010,2000,2000,1153
5015,2000,2000,1260
5020,2000,2000,1359
5025,2000,2000,1450
5030,2000,2000,1527
5035,2000,2000,1595
5040,2000,2000,1653
5045,2000,2000,1701
5050,2000,2000,1743
5055,2000,2000,1778
5060,2000,2000,1811
5065,2000,2000,1836
5070,2000,2000,1859
5075,2000,2000,1878
5080,2000,2000,1894
5085,2000,2000,1911
